id,nickname,note_id,content
1308,yuu,640f27be0000000007038365,老奶奶的店在哪里啊
1309,月亮姐姐🌙,640f27be0000000007038365,你有帮我拍照哦[飞吻R][飞吻R]还记得吗
1310,JenLei_,640f27be0000000007038365,请问店里能帮化泰妆吗[害羞R]
1311,果子狸,640f27be0000000007038365,这是自己拍吗？
1312,Ronii,640f27be0000000007038365,请问有男生衣服嘛！
1313,哒哒哒飞机🛫,640f27be0000000007038365,你太漂亮啦。。店里没得化妆附近有吗，自己不会化
1314,66baby,640f27be0000000007038365,帮装扮吗还是自己弄[大笑R]
1315,雪米LU,640f27be0000000007038365,化妆有吗？拍照你自己拍的吗
1316,长大的小朋友,640f27be0000000007038365,姐妹店面位置在哪里，离郑王庙进吗
1317,奇怪可爱多,640f27be0000000007038365,苹果手机拍的吗
1318,天下,640f27be0000000007038365,不再小巷子里 走出去 在马路边边[偷笑R]
1319,yuu,640f27be0000000007038365,就是郑王庙门口吗
1320,yuu,640f27be0000000007038365,还想请问下耳环是耳夹形式吗
1321,天下,640f27be0000000007038365,对的 耳夹哈
1322,yuu,640f27be0000000007038365,好的哇 谢谢美女[飞吻R]
1323,天下,640f27be0000000007038365,5点
1324,天下,640f27be0000000007038365,哈哈大数据 原来是你呀姐妹
1325,月亮姐姐🌙,640f27be0000000007038365,[偷笑R][偷笑R] 你太美啦
1326,天下,640f27be0000000007038365,不行滴
1327,JenLei_,640f27be0000000007038365,好滴谢谢小姐姐
1328,天下,640f27be0000000007038365,对的
1329,果子狸,640f27be0000000007038365,太美了
1330,天下,640f27be0000000007038365,有！
1331,Ronii,640f27be0000000007038365,哇！好！谢谢美女[害羞R]
1332,天下,640f27be0000000007038365,我自己画的奥[doge][doge]
1333,哒哒哒飞机🛫,640f27be0000000007038365,那这样吧，你把手给我带去玩
1334,天下,640f27be0000000007038365,好砍下来给你用
1335,天下,640f27be0000000007038365,会帮你弄的
1336,66baby,640f27be0000000007038365,在哪里呀？下周我去泰国
1337,天下,640f27be0000000007038365,评论里文里我有写
1338,天下,640f27be0000000007038365,自己拍自己画的 就是那边弄的头饰
1339,雪米LU,640f27be0000000007038365,谢谢哈
1340,天下,640f27be0000000007038365,近的 在街口
1341,长大的小朋友,640f27be0000000007038365,好的
1342,天下,640f27be0000000007038365,对滴
1343,奇怪可爱多,640f27be0000000007038365,真好看
1344,臭豆腐火鸡面,640f27be0000000007038365,乘船过去的话乘船点在哪啊[哭惹R]
1345,晓梦在伦敦,640f27be0000000007038365,短发咋办 负责发型吗 有发包没
1346,小玺,640f27be0000000007038365,姐姐 能拿你的照片做海报吗[飞吻R]
1347,momo,640f27be0000000007038365,@Mercury
1348,好好睡觉,640f27be0000000007038365,@KakoTT 这个衣服150🐷
1349,🕊,640f27be0000000007038365,@🐦
1350,小芸旅游日记,640f27be0000000007038365,前段日子刚去完回来 没想到跟团才五天下来才花了三千块 下次放假了又去[害羞R]
1351,宋个可爱多吧,640f27be0000000007038365,好美呀姐妹
1352,高小梅,640f27be0000000007038365,請問有店家的名稱嗎？能事先預約嗎🙏
1353,Ｙy 🐳,640f27be0000000007038365,[笑哭R]有化妆吗
1354,Mercury,640f27be0000000007038365,去去去 啊啊啊啊啊啊
1355,哇哇琪,640f27be0000000007038365,好便宜！！但是不包化妆[哭惹R]
1356,江门化妆师yoyo（禁言版）,640f27be0000000007038365,普吉岛吗？
1357,小芸旅游日记,640f27be0000000007038365,嗯
